Designator,Mid X,Mid Y,Rotation,Layer
C101,121.92,-74.664,270.0,top
C102,129.286,-74.664,270.0,top
C103,136.652,-74.664,270.0,top
C104,144.018,-74.664,270.0,top
C105,114.554,-74.658,270.0,top
C106,136.652,-84.322,90.0,top
C107,144.018,-103.626,90.0,top
C108,136.652,-103.626,90.0,top
C109,129.286,-103.626,90.0,top
C110,129.286,-84.322,90.0,top
C111,121.92,-84.322,90.0,top
C112,114.554,-84.322,90.0,top
C113,114.554,-93.974,270.0,top
C114,121.92,-93.974,270.0,top
C115,129.286,-93.974,270.0,top
C116,136.652,-93.974,270.0,top
C117,121.92,-103.626,90.0,top
C118,114.554,-103.626,90.0,top
C119,147.828,-86.36,270.0,top
C120,145.796,-86.36,270.0,top
C121,143.764,-86.36,270.0,top
C122,141.732,-86.36,270.0,top
C123,141.732,-92.009,90.0,top
C124,143.764,-92.009,90.0,top
C125,145.796,-92.009,90.0,top
C126,147.828,-92.009,90.0,top
J101,167.349,-82.931,270.0,top
J102,169.27875,-71.54,270.0,top
R101,154.94,-86.602,180.0,top
R102,154.94,-91.682,180.0,top
R103,153.0115,-83.312,180.0,top
R104,153.0115,-81.28,180.0,top
R105,153.0115,-79.248,180.0,top
R106,153.0115,-77.216,180.0,top
R107,153.0115,-75.184,180.0,top
RV101,161.17,-105.077,0.0,top
TP104,163.068,-69.85,90.0,top
TP105,159.258,-69.85,270.0,top
